entry_key,metrics_overfit_ratio,metrics_return_per_bar,metrics_test_trade_count,metrics_train_return_per_bar,numeric_entry_params_max_setup_hold_bars,numeric_entry_params_threshold_pct,tbm_params_active_trail_sl,tbm_params_exit_on_close,tbm_params_max_holding_bars,tbm_params_sl_mult,tbm_params_sl_trail_mult,tbm_params_time_decay_mult,tbm_params_time_decay_sl,tbm_params_tp_mult,tbm_params_tp_trail_mult
max_setup_hold_bars=28.0|threshold_pct=0.12,1.534,0.7776722368773256,216,1.1925811503117658,28.0,0.12,True,True,15,4.9,7.7,0.5,False,1.3000000000000003,0.05
max_setup_hold_bars=35.0|threshold_pct=0.12,1.481,0.8025428189378898,247,1.1887342301179689,35.0,0.12,True,True,23,6.6000000000000005,4.5,3.2,False,1.1,0.01
max_setup_hold_bars=3.0|threshold_pct=0.14,0.515,3.8619670107654103,16,1.9908186741539007,3.0,0.14,False,True,24,5.7,2.1,0.8,True,1.4000000000000001,0.01
max_setup_hold_bars=5.0|threshold_pct=0.14,0.902,1.6550255397540075,29,1.492691840439617,5.0,0.14,False,True,6,3.7,1.6,7.1,False,3.1,0.06999999999999999
max_setup_hold_bars=7.0|threshold_pct=0.14,0.939,1.9474492190976394,38,1.8292597551664547,7.0,0.14,True,True,25,4.2,5.000000000000001,3.1,False,1.4000000000000001,0.08
max_setup_hold_bars=9.0|threshold_pct=0.14,1.178,1.5878752673600882,51,1.8709924388916441,9.0,0.14,False,True,18,7.1000000000000005,7.7,0.5,False,1.4000000000000001,0.01
max_setup_hold_bars=11.0|threshold_pct=0.14,1.24,1.348154070245885,63,1.6718361624983118,11.0,0.14,False,True,21,4.4,9.9,1.2000000000000002,False,1.3000000000000003,0.09
max_setup_hold_bars=14.0|threshold_pct=0.14,1.441,1.1702385550770489,86,1.6862540349912623,14.0,0.14,False,True,16,6.2,2.2,1.5000000000000002,False,1.3000000000000003,0.060000000000000005
max_setup_hold_bars=18.0|threshold_pct=0.14,1.373,1.0293164113999993,122,1.413503412720053,18.0,0.14,False,True,16,5.800000000000001,3.2,5.8,False,1.4000000000000001,0.14
max_setup_hold_bars=22.0|threshold_pct=0.14,1.394,1.0475141354247415,149,1.4606390341031432,22.0,0.14,False,True,25,7.4,9.0,4.3999999999999995,False,1.4000000000000001,0.01
max_setup_hold_bars=28.0|threshold_pct=0.14,1.513,0.9401341367326468,178,1.4226846396698987,28.0,0.14,False,True,24,7.1000000000000005,0.30000000000000004,3.4000000000000004,False,1.4000000000000001,0.05
max_setup_hold_bars=35.0|threshold_pct=0.14,1.609,0.8471556931671667,203,1.3632047239336018,35.0,0.14,True,True,20,7.2,7.000000000000001,3.5000000000000004,False,1.3000000000000003,0.03
max_setup_hold_bars=3.0|threshold_pct=0.16,0.543,4.345221034466502,14,2.3591647502339765,3.0,0.16,False,True,15,4.4,3.0000000000000004,0.30000000000000004,True,1.5000000000000002,0.02
max_setup_hold_bars=5.0|threshold_pct=0.16,1.031,1.7270770801049462,20,1.7806541302039656,5.0,0.16,False,True,6,4.800000000000001,4.300000000000001,5.2,False,2.5000000000000004,0.41000000000000003
max_setup_hold_bars=7.0|threshold_pct=0.16,1.041,2.0046251279988576,29,2.0876930554189244,7.0,0.16,False,True,9,7.800000000000001,4.6000000000000005,4.7,False,1.6,0.09999999999999999
max_setup_hold_bars=9.0|threshold_pct=0.16,1.23,1.7028267178928937,38,2.093889307658983,9.0,0.16,False,True,23,8.0,2.4000000000000004,4.5,False,1.7000000000000002,0.01
max_setup_hold_bars=11.0|threshold_pct=0.16,1.191,1.6426689333438687,45,1.956881698033545,11.0,0.16,False,True,19,7.500000000000001,5.9,4.2,False,1.3000000000000003,0.060000000000000005
max_setup_hold_bars=14.0|threshold_pct=0.16,1.472,1.1702302857175606,69,1.722343798519478,14.0,0.16,True,True,15,3.4000000000000004,6.000000000000001,5.5,False,1.3000000000000003,0.060000000000000005
max_setup_hold_bars=18.0|threshold_pct=0.16,2.583,0.6352890378226128,104,1.6407114720309648,18.0,0.16,True,True,17,7.6000000000000005,8.9,2.3000000000000003,False,0.7000000000000001,0.01
max_setup_hold_bars=22.0|threshold_pct=0.16,2.119,0.7685237358121666,126,1.6286518834565809,22.0,0.16,False,True,25,6.4,1.1,6.7,False,1.3000000000000003,0.12
max_setup_hold_bars=28.0|threshold_pct=0.16,2.514,0.5400636909169518,157,1.3579632036610287,28.0,0.16,False,True,10,4.300000000000001,0.2,4.1,False,1.1,0.01
max_setup_hold_bars=35.0|threshold_pct=0.16,2.069,0.6752811675691692,172,1.3970356806845927,35.0,0.16,False,True,18,7.1000000000000005,6.7,0.1,True,1.3000000000000003,0.09999999999999999
max_setup_hold_bars=3.0|threshold_pct=0.18,0.532,4.314357000897431,12,2.293901859185228,3.0,0.18,False,True,8,7.4,6.800000000000001,4.6,False,1.3000000000000003,0.11
max_setup_hold_bars=5.0|threshold_pct=0.18,0.617,3.5846286341218643,15,2.2129750558161727,5.0,0.18,False,True,15,5.2,3.5000000000000004,6.2,False,1.4000000000000001,0.05
max_setup_hold_bars=7.0|threshold_pct=0.18,1.335,1.4277453628407655,23,1.9059989535276465,7.0,0.18,True,True,5,7.4,9.2,4.7,False,4.3999999999999995,0.56
max_setup_hold_bars=9.0|threshold_pct=0.18,1.105,1.9157466068379074,30,2.1175540383798404,9.0,0.18,False,True,21,6.300000000000001,8.7,3.2,False,1.7000000000000002,0.09999999999999999
max_setup_hold_bars=11.0|threshold_pct=0.18,1.227,1.490989127012945,37,1.8294159817469973,11.0,0.18,False,True,9,5.300000000000001,3.1000000000000005,5.3,False,1.3000000000000003,0.01
max_setup_hold_bars=14.0|threshold_pct=0.18,1.275,1.1373399890822689,50,1.450128921478514,14.0,0.18,True,True,5,6.000000000000001,8.2,5.5,False,3.4000000000000004,0.01
max_setup_hold_bars=18.0|threshold_pct=0.18,1.289,1.2834373941699233,80,1.6540183286324543,18.0,0.18,True,True,12,4.2,3.7,1.8000000000000003,False,1.1,0.01
max_setup_hold_bars=22.0|threshold_pct=0.18,1.569,0.9330939892165756,108,1.4642721225807216,22.0,0.18,False,True,11,7.2,9.6,7.3,False,1.7000000000000002,0.01
max_setup_hold_bars=28.0|threshold_pct=0.18,1.346,1.0333626254576787,130,1.3907512864707876,28.0,0.18,False,True,21,4.300000000000001,5.4,6.6,False,1.1,0.060000000000000005
max_setup_hold_bars=35.0|threshold_pct=0.18,1.285,1.0034283597651588,149,1.289043941925856,35.0,0.18,False,True,19,5.9,0.7,7.5,False,1.2000000000000002,0.11
max_setup_hold_bars=3.0|threshold_pct=0.2,0.605,3.8429918451687777,10,2.3232963045347046,3.0,0.2,False,True,15,5.500000000000001,1.8,0.7000000000000001,False,1.6,0.46
max_setup_hold_bars=5.0|threshold_pct=0.2,0.485,5.104079060423923,10,2.4737932044773974,5.0,0.2,False,True,8,4.7,7.4,7.0,False,1.7000000000000002,0.01
max_setup_hold_bars=7.0|threshold_pct=0.2,0.608,3.8892317390394564,14,2.365633597696207,7.0,0.2,True,True,15,5.500000000000001,8.5,4.3999999999999995,False,1.4000000000000001,0.05
max_setup_hold_bars=9.0|threshold_pct=0.2,0.888,2.6113641095388105,24,2.31846427686972,9.0,0.2,True,True,23,6.800000000000001,8.9,6.0,False,1.6,0.18000000000000002
max_setup_hold_bars=11.0|threshold_pct=0.2,0.853,2.2468810175119085,29,1.9170669965744478,11.0,0.2,True,True,16,7.300000000000001,9.1,4.3,False,1.3000000000000003,0.01
max_setup_hold_bars=14.0|threshold_pct=0.2,2.188,0.5905318533950564,40,1.2920182535254687,14.0,0.2,False,True,5,6.2,7.2,0.9,False,4.2,0.85
max_setup_hold_bars=18.0|threshold_pct=0.2,1.153,1.5627117085914615,65,1.8015459706514274,18.0,0.2,False,True,16,7.6000000000000005,0.30000000000000004,5.9,False,1.0,0.04
max_setup_hold_bars=22.0|threshold_pct=0.2,1.465,0.8784239144034238,89,1.2871126906017545,22.0,0.2,False,True,6,4.800000000000001,8.0,6.3,False,1.6,0.22
max_setup_hold_bars=28.0|threshold_pct=0.2,1.135,1.0783038694092761,99,1.2241633610751335,28.0,0.2,True,True,20,3.4000000000000004,6.6000000000000005,0.1,True,1.2000000000000002,0.01
max_setup_hold_bars=35.0|threshold_pct=0.2,1.205,1.1044462905836427,121,1.3309074044480975,35.0,0.2,True,True,23,6.1000000000000005,6.9,0.30000000000000004,True,1.4000000000000001,0.01
max_setup_hold_bars=3.0|threshold_pct=0.22,0.506,5.104079060423922,10,2.582101320841537,3.0,0.22,True,True,8,5.6000000000000005,4.7,4.0,False,2.1,0.09999999999999999
max_setup_hold_bars=5.0|threshold_pct=0.22,0.604,3.7446468896466243,11,2.260279541923384,5.0,0.22,False,True,5,8.0,2.6000000000000005,5.6,False,2.8000000000000003,0.55
max_setup_hold_bars=7.0|threshold_pct=0.22,0.683,3.957068850624626,14,2.701181471346492,7.0,0.22,False,True,25,7.4,7.7,6.1,False,1.5000000000000002,0.01
max_setup_hold_bars=9.0|threshold_pct=0.22,0.819,3.0585991659844582,19,2.5044385147738164,9.0,0.22,False,True,7,6.4,4.7,5.2,False,1.6,0.18000000000000002
