threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,active_trail_sl,time_decay_sl
0.08,1,-0.797494,-0.0906,0.0,3.280392,0.645364,0.121073,32.6999,-34.005743,-78.142252,1.330162,0.4625,1.0,0.08,80,71.25,6.2582,8.78,1.905183,1.3,5.0,0.11,5.75,14,True,False
0.07,11,-0.502698,-0.050799,0.0,2.159017,0.385266,0.079555,33.598647,-38.769547,-78.091444,1.283284,0.371622,4.382883,0.07,444,73.65,3.5825,8.55,1.148398,1.0,4.5,0.05,6.0,19,True,False
0.07,12,-0.497146,-0.050072,0.0,2.14746,0.38004,0.078735,33.548155,-39.13066,-78.309487,1.293563,0.378022,4.567033,0.07,455,73.19,3.6984,9.03,1.129143,1.1,5.0,0.16,6.0,18,True,False
0.08,2,-0.700848,-0.079806,0.0,3.028909,0.584813,0.112006,33.554617,-32.82477,-75.609018,1.358739,0.414414,1.279279,0.08,111,73.87,5.6868,10.29,1.656272,1.3,4.5,0.05,5.0,18,True,False
0.07,13,-0.497628,-0.049766,0.0,2.129155,0.376505,0.078308,33.537333,-39.231182,-78.473108,1.29478,0.382289,4.712743,0.07,463,71.27,3.7066,8.52,1.142648,1.3,5.0,0.08,6.0,13,True,False
0.07,14,-0.48948,-0.04889,0.0,2.112778,0.369934,0.077263,33.551852,-39.573673,-78.887904,1.30605,0.392034,4.985325,0.07,477,71.28,3.8224,10.27,1.135512,1.3,5.0,0.16,5.75,18,True,False
0.08,3,-0.655555,-0.072111,0.0,2.791006,0.529094,0.105567,33.418576,-35.016956,-76.689034,1.4008,0.422857,1.908571,0.08,175,76.0,6.4366,9.88,1.561903,1.4,4.25,0.060000000000000005,5.25,17,True,False
0.07,15,-0.479735,-0.04788,0.0,2.093592,0.363017,0.076186,33.589447,-39.927475,-79.321343,1.313467,0.398374,5.29065,0.07,492,71.54,3.6857,10.56,1.188034,1.3,5.0,0.01,6.0,19,True,False
0.08,4,-0.636379,-0.067947,0.0,2.680107,0.49748,0.099709,32.969049,-36.882681,-76.726426,1.407011,0.416667,2.305556,0.08,216,75.93,5.6844,10.5,1.473251,1.3,5.0,0.14,4.75,20,True,False
0.08,5,-0.597347,-0.063197,0.0,2.504313,0.467974,0.095037,33.357225,-36.900031,-76.230961,1.348177,0.406844,2.787072,0.08,263,73.38,6.1411,8.96,1.32403,1.5,3.5,0.05,5.75,13,True,False
0.08,6,-0.575514,-0.060882,0.0,2.47413,0.448245,0.091543,33.090318,-38.140937,-77.34531,1.333127,0.397887,3.024648,0.08,284,72.89,5.3754,9.59,1.415602,1.4,4.5,0.01,5.25,16,True,False
