threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,max_holding_bars
0.05,12,-0.43721,-0.045597,0.0,1.973155,0.362442,0.074269,35.122179,-33.015026,-74.305479,1.200104,0.328125,3.751736,0.05,576,78.65,3.682,15.73,1.135101,1.2000000000000002,7.25,46
0.05,14,-0.429735,-0.044612,0.0,1.929626,0.354008,0.073034,35.159024,-33.316502,-74.785866,1.202415,0.332776,4.107023,0.05,598,78.26,3.909,16.89,1.101408,1.3,6.25,50
0.05,16,-0.422435,-0.043364,0.0,1.871847,0.342917,0.071569,35.135869,-34.245678,-75.70232,1.214671,0.333861,4.716772,0.05,632,77.69,3.5194,17.87,1.071138,1.3,7.75,50
0.05,18,-0.414377,-0.04253,0.0,1.840666,0.335611,0.07053,35.142007,-34.655239,-76.221848,1.216932,0.333333,5.14526,0.05,654,77.98,2.8896,15.71,1.015498,1.15,7.0,50
0.05,20,-0.425801,-0.042777,0.0,1.819294,0.331299,0.071998,35.100737,-35.096201,-76.654128,1.227444,0.337818,5.464873,0.05,669,74.74,3.2322,14.9,1.052394,1.35,7.5,33
0.05,22,-0.419233,-0.042054,0.0,1.802334,0.326799,0.071215,35.143876,-35.336948,-76.829302,1.244719,0.345029,5.812865,0.05,684,78.36,3.723,16.65,1.055268,1.3,6.0,48
0.05,25,-0.413106,-0.041344,0.0,1.775686,0.322199,0.07044,35.152381,-35.636083,-77.123383,1.25033,0.348506,6.302987,0.05,703,75.96,3.5265,17.24,1.048398,1.4,8.0,41
0.05,28,-0.411271,-0.040974,0.0,1.768875,0.31955,0.069988,35.142924,-35.862862,-77.318606,1.259948,0.35014,6.62605,0.05,714,78.01,2.9841,15.9,1.032355,1.15,8.0,48
0.05,30,-0.407627,-0.04056,0.0,1.761679,0.316559,0.069576,35.103092,-36.217187,-77.695759,1.268916,0.353508,7.035763,0.05,727,75.24,3.3167,16.5,1.035518,1.35,8.0,40
0.05,35,-0.407468,-0.04025,0.0,1.74739,0.314168,0.069333,35.043659,-36.657612,-77.991811,1.279029,0.361299,7.450609,0.05,739,77.54,3.7172,18.72,1.028823,1.4,7.5,50
